4102PV,Erasmo,65000
4101PV,Erasmo,65000
4202PV,Erasmo,65000
4204PV,Erasmo,65000
4205PV,Erasmo,65000
4206PV,Erasmo,65000
4207PV,SecondGen,65000
4208PV,Erasmo,65000
4209PV,Erasmo,65000
4210PV,Erasmo,65000
4211PV,Erasmo,65000
4302PV,Erasmo,65000
4303PV,SecondGen,65000
4304PV,Erasmo,65000
4305PV,SecondGen,65000
4306PV,Erasmo,65000
4403PV,Erasmo,65000
4402PV,Erasmo,65000
4401PV,Erasmo,65000
4203PV,Erasmo,65000
4405PV,Erasmo,65000
4406PV,Erasmo,65000
4407PV,Erasmo,65000
4501PV,Erasmo,65000
4502PV,Erasmo,65000
4503PV,SecondGen,65000
4504PV,Erasmo,65000
4408PV,Erasmo,65000
4505PV,Erasmo,65000
4506PV,Erasmo,65000
5101PV,Erasmo,65000
5102PV,Erasmo,65000
5103PV,Erasmo,65000
5112PV,Erasmo,65000
5113PV,Erasmo,65000
5114PV,Erasmo,65000
5116PV,Erasmo,65000
5115PV,Erasmo,65000
5117PV,Erasmo,65000
5105PV,Erasmo,65000
5106PV,Erasmo,65000
5107PV,Erasmo,65000
5108PV,Erasmo,65000
5109PV,Erasmo,65000
5110PV,Erasmo,65000
5111PV,Erasmo,65000
5118PV,Erasmo,65000
5119PV,Erasmo,65000
5120PV,Erasmo,65000
5201PV,Erasmo,65000
5202PV,Erasmo,65000
5203PV,Erasmo,65000
5204PV,Erasmo,65000
5205PV,Erasmo,65000
5206PV,Erasmo,65000
5207PV,Erasmo,65000
5208PV,Erasmo,65000
5209PV,Erasmo,65000
5210PV,Erasmo,65000
5211PV,Erasmo,65000
5214PV,Erasmo,65000
5215PV,Erasmo,65000
5216PV,Erasmo,65000
5213PV,Erasmo,65000
5212PV,Erasmo,65000
5217PV,Erasmo,65000
5218PV,Erasmo,65000
5219PV,Erasmo,65000
5221PV,SecondGen,65000
5220PV,Erasmo,65000
5222PV,SecondGen,65000
5223PV,SecondGen,65000
64050,SecondGen,3890
5225PV,Erasmo,65000
5226PV,Erasmo,65000
5227PV,Erasmo,65000
5228PV,Erasmo,65000
5230PV,Erasmo,65000
5229PV,Erasmo,65000
5231PV,Erasmo,65000
5244PV,Erasmo,65000
5245PV,Erasmo,65000
5237PV,Erasmo,65000
5238PV,Erasmo,65000
5236PV,Erasmo,65000
5234PV,Erasmo,65000
5233PV,Erasmo,65000
5239PV,Erasmo,65000
5240PV,Erasmo,65000
5235PV,Erasmo,65000
5256PV,Erasmo,65000
5258PV,Erasmo,65000
5255PV,Erasmo,65000
5257PV,Erasmo,65000
5259PV,Erasmo,65000
5252PV,Erasmo,65000
5254PV,Erasmo,65000
5261PV,Erasmo,65000
5260PV,Erasmo,65000
5246PV,Erasmo,65000
5242PV,Erasmo,65000
5243PV,Erasmo,65000
5249PV,Erasmo,65000
5248PV,Erasmo,65000
5247PV,Erasmo,65000
5241PV,Erasmo,65000
5232PV,Erasmo,65000
5250PV,Erasmo,65000
5253PV,Erasmo,65000
5251PV,Erasmo,65000
5262PV,Erasmo,65000
5263PV,Erasmo,65000
5264PV,Erasmo,65000
5266PV,Erasmo,65000
5267PV,Erasmo,65000
5268PV,Erasmo,65000
5269PV,Erasmo,65000
5265PV,Erasmo,65000
5270PV,SecondGen,65000
64024PV,SecondGen,3900
61-RB38M-003,SecondGen,3900
61-RP76M-001,SecondGen,3900
61-RS00M-002,SecondGen,3900
61-RB38M-004,SecondGen,3900
61-RB38M-007,SecondGen,3900
61-RB38M-009,SecondGen,3900
61-RB38M-005,SecondGen,3900
61-RB38M-006,SecondGen,3900
61-RB38M-010,SecondGen,3900
61-RB38M-011,SecondGen,3900
61-RB38M-012,SecondGen,3900
61-RB38M-013,SecondGen,3900
61-RB38-015,SecondGen,3900
61-RP76-016,SecondGen,3900
61-RS00-017,SecondGen,3900
61-RP76-019,SecondGen,3900
61-RS00-018,SecondGen,3900
61-RB38M-014,SecondGen,3900
61-RB38-020,SecondGen,3900
61-RB38-021,SecondGen,3900
